CountyFIPS,StateAbbr,StateDesc,LocationName,BPHIGH_AdjPrev,Diabetes_AdjPrev,MHLTH_AdjPrev,Obesity_AdjPrev,SLEEP_AdjPrev
01001,AL,Alabama,Autauga,38.2,11.4,18.0,39.5,37.7
01003,AL,Alabama,Baldwin,37.0,10.4,16.8,35.0,36.4
01005,AL,Alabama,Barbour,45.4,16.5,19.9,47.1,44.6
01007,AL,Alabama,Bibb,42.4,13.9,19.9,43.7,41.4
01009,AL,Alabama,Blount,36.0,11.3,18.9,36.0,37.6
01011,AL,Alabama,Bullock,52.4,21.3,21.3,51.0,50.5
01013,AL,Alabama,Butler,44.8,15.2,20.2,40.7,43.6
01015,AL,Alabama,Calhoun,41.5,12.9,19.3,39.1,42.8
01017,AL,Alabama,Chambers,42.8,14.5,20.0,41.6,42.6
01019,AL,Alabama,Cherokee,37.5,11.8,19.8,39.3,37.4
01021,AL,Alabama,Chilton,39.0,12.0,19.3,39.8,34.1
01023,AL,Alabama,Choctaw,44.2,15.0,20.3,44.5,43.1
01025,AL,Alabama,Clarke,43.5,14.9,19.7,44.2,44.0
01027,AL,Alabama,Clay,40.6,12.9,20.0,42.4,40.8
01029,AL,Alabama,Cleburne,37.0,11.7,19.7,37.1,38.4
01031,AL,Alabama,Coffee,39.5,12.7,18.7,40.8,41.3
01033,AL,Alabama,Colbert,38.6,12.1,18.9,37.4,41.6
01035,AL,Alabama,Conecuh,46.5,16.8,20.8,46.8,43.7
01037,AL,Alabama,Coosa,40.7,13.5,19.5,41.6,41.9
01039,AL,Alabama,Covington,39.6,12.8,20.0,38.1,36.6
01041,AL,Alabama,Crenshaw,40.8,13.4,19.6,40.3,40.4
01043,AL,Alabama,Cullman,37.3,11.0,18.9,36.2,37.4
01045,AL,Alabama,Dale,40.5,13.7,19.6,41.5,39.7
01047,AL,Alabama,Dallas,49.2,18.1,20.3,46.5,47.6
01049,AL,Alabama,DeKalb,40.0,13.3,20.1,38.6,41.1
01051,AL,Alabama,Elmore,38.2,11.4,18.4,38.7,42.2
01053,AL,Alabama,Escambia,44.0,15.6,20.9,43.9,46.1
01055,AL,Alabama,Etowah,40.9,13.4,19.6,43.6,46.2
01057,AL,Alabama,Fayette,40.9,13.1,20.2,40.6,40.5
01059,AL,Alabama,Franklin,39.9,13.9,19.8,42.2,39.3
01061,AL,Alabama,Geneva,39.1,13.0,20.1,42.2,41.2
01063,AL,Alabama,Greene,52.4,21.1,21.5,53.4,51.0
